Role,Board,Class Name,Role Type,Subscription,Mobile,Username,Password
Admin,CBSE,Pre,Single,Prime,Yes,automation.admin,123456
Principal,CBSE,Pre,Single,Prime,Yes,automation.principal,123456
Teacher,CBSE,Pre,Single,Prime,Yes,automation.teacher,123456
Parent,CBSE,Pre,Single,Prime,Yes,automationp.parent,123456
Student,CBSE,Pre,Single,Prime,Yes,automationp.student,123456
Guest,CBSE,Pre,Single,Prime,Yes,automationp.guest,123456
Admin,CBSE,6,Single,Prime,Yes,automation.admin,123456
Principal,CBSE,6,Single,Prime,Yes,automation.principal,123456
Teacher,CBSE,6,Single,Prime,Yes,automation.teacher,123456
Parent,CBSE,6,Single,Prime,Yes,automation.parent,123456
Student,CBSE,6,Single,Prime,Yes,automation5.student,123456
Guest,CBSE,6,Single,Prime,Yes,automation6.guest,123456
Admin,CBSE,10,Single,Prime,Yes,automation.admin,123456
Principal,CBSE,10,Single,Prime,Yes,automation.principal,123456
Teacher,CBSE,10,Single,Prime,Yes,automation.teacher,123456
Parent,CBSE,10,Single,Prime,Yes,automation10.parent,123456
Student,CBSE,10,Single,Prime,Yes,automation10.student,123456
Guest,CBSE,10,Single,Prime,Yes,automation10.guest,123456
Admin,CBSE,12,Single,None,Yes,automationp.admin,123456
Principal,CBSE,12,Single,None,Yes,automationp.principal,123456
Teacher,CBSE,12,Single,None,Yes,automationp.teacher,123456
Parent,CBSE,12,Single,None,Yes,automation12.parent,123456
Student,CBSE,12,Single,Prime,Yes,class_10,123456
Guest,CBSE,12,Single,None,Yes,automation12.guest,123456
Guest,CBSE,9,Single,3D,No,class9.demo,123456
Student,CBSE,11,Single,None,Yes,vinay2.student,123456
Admin,CBSE,11,Single,None,Yes,vinay2.admin,1234567
Principal,CBSE,11,Single,None,Yes,vinay2.principal,123456
Parent,CBSE,11,Single,None,Yes,vinay2.parent,123456
Guest,CBSE,11,Single,None,Yes,vinay2.guest,123456
